age,gender,branch,degree,semester,cgpa,backlogs,attendance_percentage,programming_score,dsa_score,sql_score,web_dev_score,ml_score,cloud_score,aptitude_score,coding_test_score,communication_score,leadership_score,teamwork_score,interview_score,number_of_projects,project_quality_score,number_of_certifications,internship_experience,internship_count,hackathons_attended,github_contributions,resume_score,technical_skill_avg,soft_skill_avg,academic_score_index,experience_score,overall_readiness_index
21,Female,Electronics,B.Tech,8,9.54,1,95.2,68.4,70.4,83.0,87.2,71.6,69.4,65.7,66.9,70.8,39.2,71.8,58.3,2,29.8,3,1,1,0,131,97.5,75.0,60.03,85.34,70.94,74.5
21,Male,Information Technology,B.Tech,8,8.96,0,77.3,52.7,63.4,72.7,80.0,45.7,65.2,66.2,64.4,78.3,78.0,64.2,69.4,1,58.2,2,1,2,3,2,77.9,63.28,72.47,85.91,85.46,75.23
22,Male,Electronics,B.Tech,8,7.07,0,78.0,71.7,65.1,72.5,66.7,50.1,32.7,84.8,72.9,63.9,53.3,64.4,69.9,3,61.0,2,1,3,0,206,87.0,59.8,62.88,72.89,98.3,70.12
21,Male,Computer Science,B.Tech,8,7.55,0,72.2,58.9,55.4,67.0,63.0,10.0,80.6,68.6,59.8,50.1,87.9,83.1,57.6,4,98.0,0,1,1,0,23,82.5,55.82,69.68,74.51,89.4,69.24
20,Female,Computer Science,B.Tech,8,7.78,0,67.9,75.3,56.7,85.7,58.8,62.1,48.3,53.0,63.3,79.6,80.5,64.0,64.2,2,49.4,0,1,1,0,112,73.0,64.48,72.08,74.83,58.82,68.26
21,Female,Computer Science,B.Tech,8,8.56,0,81.7,37.4,72.0,74.3,59.3,32.4,32.7,68.6,53.3,90.4,60.0,85.0,84.3,2,44.8,3,1,1,0,21,84.3,51.35,79.92,84.43,75.44,70.6
22,Male,Mechanical,B.Tech,8,8.81,0,83.4,66.1,57.9,49.9,43.2,66.3,34.1,52.6,58.4,68.8,54.9,61.6,58.2,3,73.3,1,1,1,0,135,91.3,52.92,60.88,86.69,79.99,68.7
22,Male,Mechanical,B.Tech,8,5.03,0,57.1,48.5,64.5,68.8,35.1,65.6,63.1,81.2,52.5,68.6,65.9,59.7,64.2,0,21.0,1,1,1,3,35,55.7,57.6,64.6,52.34,52.3,56.63
22,Male,Civil,B.Tech,8,8.77,2,76.8,77.2,70.2,72.4,94.2,58.0,56.5,69.7,78.8,69.5,57.2,44.5,73.1,2,51.4,1,1,1,0,178,88.1,71.42,61.08,64.43,65.42,66.36
20,Male,Electronics,B.Tech,8,8.44,0,81.9,66.2,72.5,61.0,22.7,50.3,47.4,64.7,74.9,58.8,45.8,68.7,64.6,1,40.5,1,0,0,0,32,64.7,53.35,59.48,83.65,26.15,59.59
21,Male,Electronics,B.Tech,8,6.34,0,90.7,49.7,47.6,63.0,57.2,67.1,74.4,59.6,49.4,51.8,80.9,77.6,45.6,3,68.5,3,0,0,0,5,74.4,59.83,63.97,71.59,62.55,64.59
22,Female,Information Technology,B.Tech,8,7.02,0,85.1,61.6,65.9,71.8,32.7,58.5,48.3,48.9,57.3,57.5,31.0,47.9,59.3,3,57.5,0,1,1,0,155,83.7,56.47,48.92,74.67,69.25,62.34
22,Male,Information Technology,B.Tech,8,4.8,0,83.7,25.0,34.3,45.7,81.7,61.3,43.9,63.9,31.1,87.5,83.7,61.5,71.0,2,67.2,3,0,0,0,27,55.1,48.65,75.92,58.71,54.16,57.95
23,Male,Information Technology,B.Tech,8,7.85,0,97.3,65.0,81.7,96.4,58.5,44.9,34.6,76.3,69.2,87.7,51.7,64.7,76.2,2,64.0,1,1,1,0,63,77.8,63.52,70.08,84.14,69.2,71.87
21,Female,Mechanical,B.Tech,8,7.8,0,83.7,65.8,64.8,68.2,27.0,49.7,30.7,61.5,61.5,44.8,46.4,79.3,48.4,1,21.0,1,1,1,3,192,86.8,51.03,54.72,79.71,60.3,61.76
21,Male,Information Technology,B.Tech,8,6.77,0,85.9,54.2,63.5,63.9,56.3,62.8,69.9,59.8,60.5,82.2,92.1,64.0,66.0,2,49.4,2,1,1,1,11,92.5,61.77,76.08,73.16,74.82,70.01
23,Male,Computer Science,B.Tech,8,7.63,3,86.5,55.8,52.1,55.5,89.7,50.1,50.2,76.3,56.8,56.4,75.3,72.4,55.5,4,65.1,2,1,2,1,86,96.6,58.9,64.9,49.36,100.0,63.4
23,Female,Electrical,B.Tech,8,5.64,0,95.6,34.5,31.6,46.4,82.6,49.5,51.1,97.8,27.7,74.3,75.6,70.9,73.1,3,50.9,0,1,1,1,281,72.6,49.28,73.47,68.16,71.27,63.08
20,Female,Computer Science,B.Tech,8,7.3,1,98.0,51.7,55.2,50.9,85.3,32.6,78.0,51.2,52.6,98.0,69.6,78.1,68.2,2,53.1,1,1,1,0,274,71.4,58.95,78.47,70.5,65.93,67.37
22,Female,Computer Science,B.Tech,8,7.62,1,92.4,62.7,57.7,73.1,70.2,48.0,40.0,82.1,61.7,75.8,63.1,71.4,71.3,2,20.0,2,0,0,1,108,57.2,58.62,70.4,71.06,38.0,61.62
21,Female,Electrical,B.Tech,8,7.01,0,73.8,43.0,45.5,60.8,59.0,40.5,36.0,93.5,47.0,73.2,73.0,61.3,68.1,0,27.8,1,1,1,0,200,50.9,47.47,68.9,71.21,42.34,58.11
21,Male,Computer Science,B.Tech,8,6.31,0,80.4,56.9,41.8,51.4,69.4,43.1,58.1,51.8,46.7,71.7,71.1,70.0,66.0,1,42.1,2,0,0,1,90,55.7,53.45,69.7,68.29,36.63,58.63
22,Female,Electrical,B.Tech,8,7.95,0,93.9,58.7,48.0,57.8,70.2,54.3,45.8,63.4,58.0,57.9,53.5,58.7,59.5,2,38.9,4,1,1,3,16,94.6,55.8,57.4,83.82,91.67,69.91
20,Male,Electronics,B.Tech,8,8.15,0,94.5,72.2,62.1,77.1,68.6,45.4,77.6,79.5,65.9,61.1,69.5,71.1,71.1,3,70.0,0,0,0,2,48,65.1,67.17,68.2,85.4,53.0,70.72
21,Male,Information Technology,B.Tech,8,6.35,0,82.0,55.1,54.1,59.6,67.8,66.7,42.3,66.9,53.5,61.6,62.9,57.7,58.7,3,50.3,1,1,1,1,118,84.8,57.6,60.22,69.05,77.09,64.48
20,Female,Electronics,B.Tech,8,6.79,0,81.0,73.0,63.8,80.8,64.9,26.7,41.3,75.0,75.9,96.3,44.1,69.3,86.4,2,60.0,2,1,2,1,450,73.5,58.42,74.03,71.83,86.0,69.7
20,Female,Information Technology,B.Tech,8,6.88,2,91.0,50.3,50.6,68.3,54.1,84.0,93.4,90.0,54.7,80.8,72.7,73.6,77.4,2,49.7,0,0,0,0,230,56.3,66.78,76.12,55.46,30.91,59.87
21,Female,Information Technology,B.Tech,8,5.34,0,93.2,52.0,45.0,57.1,54.7,66.6,43.9,60.4,49.9,71.9,45.0,59.5,61.6,0,40.5,2,0,0,0,63,55.3,53.22,59.5,65.34,24.15,53.75
23,Male,Electrical,B.Tech,8,9.9,2,76.0,85.6,75.7,82.7,67.6,53.7,34.9,78.1,83.0,64.9,44.3,58.5,65.8,1,31.4,2,1,1,0,151,96.7,66.7,58.38,72.1,57.42,65.26
22,Male,Computer Science,B.Tech,8,4.98,0,71.4,40.9,47.4,53.3,88.5,58.1,59.9,76.4,49.1,65.4,45.1,86.6,60.0,2,48.5,1,0,0,0,26,45.2,58.02,64.28,56.28,36.55,55.53
21,Female,Computer Science,B.Tech,8,5.5,0,76.0,55.7,56.6,60.5,48.5,45.1,46.7,69.3,58.2,77.9,86.1,51.9,66.0,3,61.2,0,0,0,2,22,46.0,52.18,70.47,61.3,50.36,58.3
20,Male,Electrical,B.Tech,8,5.28,3,82.1,48.2,45.1,58.1,69.8,38.6,52.7,74.1,47.8,62.1,55.2,92.2,56.1,2,59.1,0,1,1,0,155,76.0,52.08,66.4,31.59,61.73,50.24
22,Female,Civil,B.Tech,8,5.06,0,94.1,47.9,46.0,64.7,57.6,76.0,75.8,73.8,50.3,75.9,72.7,80.2,68.5,1,25.9,1,1,1,0,143,58.0,61.33,74.32,63.65,49.77,62.89
22,Male,Electronics,B.Tech,8,7.03,0,98.0,42.6,59.9,41.1,84.7,45.2,61.5,59.1,54.9,67.6,55.2,81.3,64.1,5,90.0,2,1,1,3,37,95.2,55.83,67.05,78.61,100.0,71.53
21,Male,Computer Science,B.Tech,8,7.18,0,89.3,53.3,60.0,67.7,52.2,76.4,42.7,71.8,62.3,48.1,43.9,68.8,63.6,4,70.0,2,0,0,0,156,65.8,58.72,56.1,77.05,65.0,64.64
20,Female,Information Technology,B.Tech,8,6.4,0,85.7,54.1,57.7,61.9,93.5,32.8,10.0,53.9,56.8,75.3,74.9,64.0,59.4,2,51.6,0,1,1,0,118,83.8,51.67,68.4,70.51,59.48,61.84
21,Female,Information Technology,B.Tech,8,6.76,0,87.7,64.6,53.1,83.5,37.8,80.5,82.8,54.8,55.3,80.4,42.3,68.9,67.6,3,74.1,0,0,0,0,34,65.7,67.05,64.8,73.63,46.23,65.45
20,Male,Information Technology,B.Tech,8,9.9,0,82.1,96.5,97.0,88.7,54.5,43.8,40.8,86.0,96.5,73.3,38.0,89.4,74.8,3,66.4,0,1,1,0,56,97.1,70.22,68.88,93.93,71.92,77.32
22,Male,Information Technology,B.Tech,8,8.95,2,74.7,70.2,69.0,68.6,40.0,72.8,59.0,67.7,71.8,88.1,83.2,59.5,80.9,1,46.9,0,1,1,0,15,90.4,63.27,77.93,65.06,50.07,64.76
21,Male,Information Technology,B.Tech,8,7.24,0,67.5,62.2,65.9,56.7,65.2,50.3,50.6,66.5,66.2,68.6,44.1,68.1,69.3,2,39.5,0,0,0,0,145,59.1,58.48,62.52,70.93,27.85,58.43
21,Male,Information Technology,B.Tech,8,8.16,0,62.0,74.9,79.4,73.4,66.7,78.1,83.9,83.5,84.0,43.4,74.8,76.2,65.3,2,51.0,2,1,1,1,143,79.0,76.07,64.92,75.72,75.3,73.62
20,Female,Computer Science,B.Tech,8,6.15,0,76.7,31.6,48.5,35.1,58.6,11.4,45.3,53.9,36.4,58.6,70.0,69.9,49.0,2,52.2,1,0,0,3,6,57.7,38.42,61.88,66.06,49.66,53.09
20,Male,Electronics,B.Tech,8,7.84,0,80.2,77.1,75.2,74.2,47.8,81.4,55.4,51.6,78.6,51.4,61.0,65.3,58.1,2,50.5,1,1,1,1,69,83.2,68.52,58.95,78.94,69.15,69.83
21,Female,Computer Science,B.Tech,8,6.06,0,76.4,62.0,57.3,63.2,58.8,29.6,70.6,97.2,46.9,98.0,81.5,79.2,82.6,2,50.9,4,0,0,3,35,74.3,56.92,85.32,65.34,67.27,66.68
20,Male,Electrical,B.Tech,8,8.41,1,69.2,71.6,73.1,78.3,86.3,47.1,56.1,65.1,80.3,59.8,74.3,53.8,71.2,2,60.2,0,1,1,0,62,74.1,68.75,64.77,69.63,62.06,67.21
22,Male,Electronics,B.Tech,8,8.51,0,62.3,51.4,56.6,74.7,59.7,68.0,59.0,51.9,46.9,76.2,76.1,80.8,54.7,1,26.2,1,1,2,0,5,81.6,61.57,71.95,78.26,57.86,68.1
23,Male,Computer Science,B.Tech,8,7.13,0,94.6,79.0,84.0,78.3,52.6,88.3,11.5,73.3,86.8,87.2,62.2,71.8,88.7,5,92.7,2,1,1,0,7,98.0,65.62,77.47,78.29,100.0,76.95
20,Female,Civil,B.Tech,8,8.19,1,79.8,68.2,74.3,63.2,72.8,46.7,66.6,59.9,71.4,70.8,60.1,72.0,69.2,2,37.7,4,1,1,3,21,98.0,65.3,68.03,71.27,91.31,71.54
22,Male,Information Technology,B.Tech,8,8.69,1,78.6,74.2,68.9,53.5,42.8,51.3,53.4,45.7,66.5,86.1,65.3,67.6,71.3,2,54.6,0,1,2,2,33,71.1,57.35,72.57,74.41,76.38,68.37
21,Female,Civil,B.Tech,8,5.36,0,85.1,41.5,33.3,47.6,52.6,81.4,57.5,72.8,29.2,68.5,48.5,66.3,53.4,1,30.6,1,0,0,2,177,39.5,52.32,59.18,63.05,31.18,53.74
22,Male,Computer Science,B.Tech,8,8.09,0,74.0,68.7,62.1,78.9,95.0,52.2,47.4,30.0,63.0,62.6,63.2,59.4,52.0,4,73.6,2,0,0,2,342,85.7,67.38,59.3,78.83,74.08,70.2
22,Male,Electronics,B.Tech,8,8.1,2,80.0,75.7,69.3,80.3,68.6,45.1,44.7,79.8,72.6,44.5,62.0,67.4,55.6,4,82.5,0,1,2,0,130,97.1,63.95,57.38,60.7,92.75,65.98
20,Female,Computer Science,B.Tech,8,8.03,1,88.3,58.7,76.9,80.6,40.9,71.3,30.6,89.2,69.0,80.8,47.5,70.3,86.6,1,46.2,3,1,1,1,19,89.3,59.83,71.3,72.7,71.86,67.79
21,Male,Information Technology,B.Tech,8,8.22,0,75.7,68.8,66.7,77.4,50.8,64.6,64.0,52.0,69.6,72.4,52.0,74.1,65.4,3,49.3,1,1,2,0,50,94.7,65.38,65.97,80.25,80.79,72.27
21,Male,Computer Science,B.Tech,8,6.28,3,98.0,57.2,42.1,81.8,55.7,63.7,42.1,57.8,49.9,93.1,62.2,64.5,63.5,4,81.3,1,1,1,1,46,80.1,57.1,70.82,43.36,94.39,61.32
21,Female,Computer Science,B.Tech,8,5.63,0,95.5,61.1,53.6,63.5,90.5,69.8,68.4,62.3,68.2,62.2,62.3,74.0,63.0,2,38.5,3,1,1,0,37,68.5,67.82,65.38,68.06,73.55,68.26
21,Male,Computer Science,B.Tech,8,7.39,0,81.7,69.9,63.9,74.3,81.7,68.3,51.6,73.4,68.5,54.7,64.9,66.9,57.9,0,20.0,3,0,0,1,11,72.6,68.28,61.1,76.24,28.0,63.19
24,Male,Computer Science,B.Tech,8,8.64,3,89.8,60.8,63.4,81.6,51.5,68.3,41.2,72.6,62.9,72.3,92.0,62.7,70.3,1,38.9,1,0,0,2,20,75.8,61.13,74.32,57.42,33.67,58.54
21,Male,Information Technology,B.Tech,8,5.96,2,74.3,32.4,35.9,40.2,65.8,63.3,43.6,52.1,31.9,76.5,61.1,71.7,45.1,1,44.6,3,0,0,0,63,51.0,46.87,63.6,44.01,39.38,48.23
21,Male,Information Technology,B.Tech,8,5.72,1,75.5,43.3,46.5,50.4,56.0,76.9,44.6,55.1,44.7,59.1,81.4,48.9,59.2,1,35.8,0,0,0,1,8,39.6,52.95,62.15,52.69,22.74,50.18
22,Male,Computer Science,B.Tech,8,8.09,0,98.0,69.8,61.4,64.0,52.2,50.0,54.4,78.3,61.0,57.4,55.0,74.5,72.3,1,29.8,0,0,0,3,80,61.1,58.63,64.8,86.03,28.94,63.63
22,Male,Mechanical,B.Tech,8,5.7,0,91.5,30.6,34.8,29.8,46.2,55.7,48.8,86.9,35.8,65.1,75.6,79.2,69.7,2,65.9,1,0,0,0,65,53.8,40.98,72.4,67.35,41.77,55.29
21,Female,Information Technology,B.Tech,8,6.4,0,75.5,56.7,43.6,49.2,54.2,48.7,52.5,66.7,53.8,74.0,47.8,78.0,69.3,1,33.7,2,0,0,2,2,54.8,50.82,67.28,67.45,38.11,57.19
22,Male,Mechanical,B.Tech,8,5.35,3,81.6,48.9,45.1,54.1,42.3,82.9,15.4,91.2,43.7,,76.7,58.0,63.5,5,83.5,1,1,2,3,116,98.0,48.12,66.07,31.93,100.0,54.64
22,Female,Information Technology,B.Tech,8,6.92,4,95.0,66.1,60.2,70.1,54.2,45.4,39.6,82.7,60.6,75.7,70.5,64.9,80.3,3,81.8,3,0,0,2,88,65.1,55.93,72.85,36.94,74.54,56.41
22,Female,Information Technology,B.Tech,8,6.6,0,56.3,57.3,70.4,56.3,86.5,57.1,38.5,65.6,65.2,71.9,81.0,58.2,63.9,2,42.6,0,1,1,0,47,64.7,61.02,68.75,63.09,56.78,62.55
21,Female,Mechanical,B.Tech,8,7.09,0,77.3,63.1,71.7,76.1,44.9,57.8,71.9,76.4,67.4,83.8,53.9,70.4,73.9,3,56.0,0,1,1,0,126,82.0,64.25,70.5,72.82,68.8,68.75
22,Male,Mechanical,B.Tech,8,6.02,1,85.8,63.5,54.6,52.8,72.1,65.2,59.0,66.7,53.4,74.2,66.3,72.2,71.9,3,56.7,1,0,0,2,43,65.6,61.2,71.15,57.88,55.01,61.27
22,Male,Computer Science,B.Tech,8,8.2,0,83.8,57.2,58.6,63.0,57.6,41.6,42.9,67.5,56.7,84.4,55.0,75.5,82.7,2,41.2,4,1,1,1,353,98.0,53.48,74.4,82.54,84.36,71.01
21,Male,Mechanical,B.Tech,8,8.46,1,76.1,67.1,81.4,79.8,62.3,53.0,40.4,66.5,77.5,52.5,50.7,62.5,77.2,3,57.4,0,0,0,1,94,74.0,64.0,60.72,72.05,45.22,62.94
20,Male,Computer Science,B.Tech,8,6.5,0,78.4,54.0,49.9,54.9,53.5,58.6,63.0,72.9,49.0,67.7,68.9,67.4,70.9,4,74.3,1,1,1,0,450,75.9,55.65,68.73,69.02,88.29,67.17
21,Male,Civil,B.Tech,8,6.66,0,80.3,58.0,49.1,54.7,58.3,84.2,37.8,64.9,47.5,49.1,58.4,67.2,55.0,1,42.7,2,1,1,2,47,73.5,57.02,57.42,70.71,68.81,62.98
20,Female,Electronics,B.Tech,8,7.25,0,68.9,68.9,58.0,69.2,78.5,49.9,66.2,83.7,58.8,62.6,90.3,52.5,70.8,2,36.8,3,1,1,0,70,69.4,65.12,69.05,71.42,73.04,68.98
20,Male,Civil,B.Tech,8,7.53,2,67.8,75.8,74.3,75.5,59.3,60.2,77.5,76.4,71.1,66.3,69.7,77.0,70.3,2,46.6,1,0,0,0,73,67.4,70.43,70.82,53.05,35.98,60.13
20,Male,Computer Science,B.Tech,8,5.25,1,79.4,32.3,26.5,34.7,52.6,88.1,73.3,59.3,23.0,54.5,63.0,85.4,40.8,0,20.0,2,0,0,3,94,37.4,51.25,60.92,50.57,30.0,49.79
22,Male,Computer Science,B.Tech,8,7.95,0,77.4,65.1,57.0,75.0,54.6,54.4,59.4,54.3,67.1,76.4,71.3,71.3,60.0,2,43.5,1,0,0,1,125,63.9,60.92,69.75,78.87,39.05,64.79
22,Female,Computer Science,B.Tech,8,6.84,0,91.5,75.7,75.0,75.9,74.4,52.0,59.8,58.1,62.3,74.0,54.9,68.0,72.1,1,25.7,1,0,0,1,22,57.6,68.8,67.25,75.33,25.71,63.99
21,Male,Computer Science,B.Tech,8,9.24,0,77.2,81.9,76.6,90.9,72.3,62.3,63.3,57.9,74.4,67.2,65.5,83.4,68.0,4,96.0,2,0,0,0,63,90.8,74.55,71.03,87.84,72.8,77.57
21,Male,Information Technology,B.Tech,8,6.27,0,79.2,52.6,55.4,48.2,69.6,48.0,51.3,83.4,55.8,60.9,67.9,83.8,67.4,4,85.8,0,0,0,3,81,51.5,54.18,70.0,67.65,69.74,63.72
23,Male,Electronics,B.Tech,8,8.07,0,88.5,72.7,60.5,51.7,70.1,91.2,84.4,80.1,58.2,62.3,41.6,78.2,71.9,3,56.5,1,1,1,2,104,83.7,71.77,63.5,83.04,82.95,75.17
21,Female,Computer Science,B.Tech,8,8.34,0,77.2,62.2,57.0,65.2,64.2,58.7,49.5,95.8,53.3,70.0,48.8,66.0,77.0,3,59.5,0,1,1,0,117,98.0,59.47,65.45,81.54,69.85,68.84
21,Female,Electrical,B.Tech,8,7.56,0,75.3,56.7,49.7,57.8,66.4,41.0,48.6,60.4,49.8,50.7,54.5,83.4,47.8,1,44.2,0,1,1,3,19,67.6,53.37,59.1,75.51,61.26,62.34
21,Male,Computer Science,B.Tech,8,6.58,3,85.8,56.4,47.8,59.0,82.0,37.5,75.3,69.3,45.4,65.8,73.4,70.9,61.1,3,51.6,0,0,0,0,242,64.8,59.67,67.8,41.8,39.48,52.91
22,Male,Computer Science,B.Tech,8,8.38,0,82.7,90.5,68.9,90.2,50.5,62.5,35.5,43.8,83.2,89.8,58.6,55.0,68.3,2,41.8,1,1,2,0,159,78.1,66.35,67.92,83.47,70.54,72.43
24,Male,Information Technology,B.Tech,8,6.62,0,77.1,59.0,61.2,64.1,73.5,22.7,39.8,76.1,66.9,94.1,94.8,64.6,79.4,3,50.4,0,0,0,3,10,71.2,53.38,83.22,69.47,51.12,63.84
22,Female,Information Technology,B.Tech,8,7.97,0,98.0,60.0,58.8,61.1,71.5,71.8,29.8,72.1,62.7,59.5,68.1,88.3,56.4,1,51.0,1,1,1,1,114,92.3,58.83,68.07,85.19,61.3,68.96
22,Male,Information Technology,B.Tech,8,6.65,0,98.0,50.2,50.6,69.5,63.3,82.2,42.3,82.4,51.5,81.2,67.2,67.1,73.1,3,83.3,1,0,0,2,136,68.7,59.68,72.15,75.95,62.99,67.55
