student_id,age,gender,branch,degree,semester,cgpa,backlogs,attendance_percentage,programming_score,dsa_score,sql_score,web_dev_score,ml_score,cloud_score,aptitude_score,coding_test_score,communication_score,leadership_score,teamwork_score,interview_score,number_of_projects,project_quality_score,number_of_certifications,internship_experience,internship_count,hackathons_attended,github_contributions,resume_score,placement_status
STU1037,20,Female,Civil,B.Tech,8,6.76,0,83.3,61.3,61.7,61.4,44.9,88.0,55.1,59.0,67.2,77.9,47.4,66.4,69.1,5,98.0,1,1,1,0,136,95.7,1
STU1038,22,Male,Computer Science,B.Tech,8,8.38,0,82.7,90.5,68.9,90.2,50.5,62.5,35.5,43.8,83.2,89.8,58.6,55.0,68.3,2,41.8,1,1,2,0,159,78.1,1
STU1039,21,Female,Information Technology,B.Tech,8,7.86,0,91.2,41.5,62.1,61.1,35.2,80.6,43.0,79.5,63.0,79.1,61.6,73.4,74.0,3,53.6,2,1,1,1,72,90.8,1
STU1040,20,Female,Computer Science,B.Tech,8,9.73,1,91.2,99.0,91.8,84.2,48.2,73.0,42.1,35.1,100.0,85.7,52.5,77.9,81.1,3,56.1,0,1,2,0,14,89.0,1
STU1041,21,Male,Civil,B.Tech,8,5.57,0,86.7,54.1,68.7,53.5,63.4,38.6,65.5,67.9,62.2,81.7,48.8,73.7,80.2,1,29.7,1,1,1,0,142,66.5,1
STU1042,20,Female,Computer Science,B.Tech,8,8.59,0,78.6,89.1,86.8,67.0,66.5,51.6,37.8,65.1,82.1,80.0,86.1,70.8,89.3,1,32.7,0,1,1,2,6,82.5,1
STU1043,23,Male,Information Technology,B.Tech,8,8.46,0,89.0,77.9,79.3,74.6,32.3,55.6,23.9,98.0,75.7,65.9,68.7,68.4,80.9,2,60.4,1,1,1,1,61,81.2,1
STU1044,21,Female,Electronics,B.Tech,8,6.13,3,81.1,43.8,53.9,51.5,59.9,56.9,20.5,42.4,41.7,71.7,73.2,98.0,52.3,2,50.9,2,0,0,0,29,69.8,0
STU1045,22,Male,Electronics,B.Tech,8,8.31,0,71.7,-5.0,81.6,67.7,70.5,71.5,28.5,55.4,79.9,65.0,63.1,59.0,64.5,2,54.8,0,1,1,0,264,58.4,1
STU1046,21,Female,Information Technology,B.Tech,8,7.57,0,78.2,67.0,82.8,75.4,59.6,62.4,73.8,66.1,79.5,67.4,69.1,81.6,64.5,4,81.4,3,1,1,1,177,98.0,1
STU1047,21,Female,Computer Science,B.Tech,8,6.95,0,82.8,52.7,63.4,75.1,52.5,10.0,52.3,65.2,58.0,70.8,78.1,72.2,71.5,3,53.8,3,1,2,0,95,79.5,1
STU1048,21,Male,Information Technology,B.Tech,8,6.29,1,90.6,59.2,48.8,63.1,55.8,31.4,60.0,60.3,59.1,78.6,51.1,62.6,60.7,4,80.2,1,1,1,1,145,75.6,1
STU1049,21,Female,Computer Science,B.Tech,8,6.41,4,80.3,48.7,42.2,51.5,53.9,15.6,60.6,66.9,47.1,75.1,68.7,71.5,44.4,4,81.3,0,0,0,2,100,60.0,0
STU1050,23,Female,Computer Science,B.Tech,8,9.45,0,70.5,75.7,79.2,83.7,52.4,58.2,52.9,50.4,75.4,68.1,74.7,56.7,80.9,3,72.6,2,1,3,0,18,98.0,1
STU1051,22,Female,Information Technology,B.Tech,8,7.2,0,82.5,51.8,52.2,47.0,64.6,59.3,50.8,73.0,52.4,70.7,86.6,65.4,62.4,2,39.3,3,1,1,4,119,78.7,1
STU1052,23,Female,Computer Science,B.Tech,8,8.06,2,83.1,72.3,54.7,84.9,96.6,60.1,68.7,35.5,65.9,75.2,92.3,71.5,53.7,1,20.0,0,1,1,3,53,67.0,1
STU1053,22,Female,Computer Science,B.Tech,8,6.33,0,83.8,62.6,48.5,61.2,50.8,37.7,54.3,67.6,56.2,78.0,66.0,54.9,76.1,2,51.8,3,1,1,0,97,74.6,1
STU1054,21,Male,Electronics,B.Tech,8,6.34,0,90.7,49.7,47.6,63.0,57.2,67.1,74.4,59.6,49.4,51.8,80.9,77.6,45.6,3,68.5,3,0,0,0,5,74.4,0
STU1055,23,Male,Civil,B.Tech,8,8.39,0,91.7,96.4,95.8,99.0,61.2,67.9,61.9,82.2,92.3,57.1,27.6,61.4,83.1,2,48.2,1,1,1,0,15,88.5,1
STU1056,20,Female,Electronics,B.Tech,8,5.72,0,76.4,51.4,59.2,52.1,51.7,32.4,42.1,92.6,53.1,83.3,86.7,56.0,75.3,3,65.3,2,1,1,0,101,94.5,1
STU1057,21,Male,Computer Science,B.Tech,8,6.74,0,76.1,42.6,62.2,65.6,78.5,28.6,44.0,63.4,63.7,69.3,54.8,60.1,57.5,5,98.0,1,1,3,0,92,98.0,1
STU1058,20,Female,Computer Science,B.Tech,8,7.24,0,72.1,65.0,67.8,67.4,26.4,55.0,40.4,87.5,72.5,64.9,61.6,95.9,82.8,2,45.4,1,0,0,0,25,68.2,1
STU1059,21,Female,Civil,B.Tech,8,7.32,0,88.6,59.5,54.6,48.8,54.0,87.3,71.5,63.6,49.7,66.8,71.2,50.2,67.7,2,47.2,1,1,1,0,26,81.2,1
STU1060,21,Male,Computer Science,B.Tech,8,7.0,3,95.8,59.2,44.8,59.4,74.3,85.6,45.5,54.5,40.2,66.8,62.9,76.8,62.0,3,65.8,0,0,0,0,114,53.3,0
STU1061,21,Male,Computer Science,B.Tech,8,7.64,0,79.0,79.3,68.8,72.1,57.6,65.1,39.2,92.4,74.4,76.7,67.8,63.7,81.2,0,20.0,2,0,0,0,4,73.8,1
STU1062,22,Female,Information Technology,B.Tech,8,7.96,1,79.7,64.5,64.8,67.9,49.7,41.9,57.1,75.3,69.1,56.7,87.2,68.1,68.3,1,33.5,0,0,0,0,44,58.6,1
STU1063,21,Male,Electronics,B.Tech,8,8.01,0,95.9,63.8,56.3,54.3,68.6,71.0,50.4,68.1,57.5,70.3,59.6,78.6,58.0,3,64.4,1,1,1,0,84,83.7,1
STU1064,21,Female,Electronics,B.Tech,8,6.12,0,86.8,35.2,43.0,56.6,75.6,46.9,56.7,77.6,44.2,73.0,49.8,78.1,66.0,3,81.4,3,0,0,0,42,74.6,0
STU1065,21,Male,Computer Science,B.Tech,8,6.89,0,86.1,57.4,56.1,70.8,65.2,41.2,82.2,71.8,57.0,74.8,90.4,64.5,62.7,2,47.0,0,1,1,3,165,67.5,1
STU1066,20,Female,Computer Science,B.Tech,8,8.51,2,70.7,84.6,76.9,83.7,50.0,16.4,66.6,67.0,79.9,72.7,72.4,57.1,63.9,4,82.0,1,1,1,0,8,74.3,1
STU1067,22,Male,Civil,B.Tech,8,8.18,1,88.4,73.1,75.1,92.2,68.8,56.8,52.4,49.4,77.9,76.2,91.9,78.8,70.3,2,59.2,1,0,0,3,193,71.3,1
STU1068,20,Female,Computer Science,B.Tech,8,5.69,0,73.2,33.1,22.3,37.9,56.0,43.7,29.5,64.2,25.0,63.1,77.1,78.1,58.1,2,41.6,0,0,0,0,123,63.5,0
STU1069,24,Male,Electronics,B.Tech,8,7.59,1,71.2,57.7,56.6,59.9,73.2,56.7,44.0,76.7,55.7,58.7,46.5,68.9,61.2,2,63.8,2,1,1,1,57,87.8,1
STU1070,22,Female,Electronics,B.Tech,8,5.02,0,78.7,44.6,42.1,40.6,84.2,13.6,63.4,66.3,46.7,98.0,74.0,76.9,70.4,1,52.6,1,0,0,0,201,49.0,0
STU1071,21,Male,Electronics,B.Tech,8,7.25,3,76.4,40.6,53.5,55.1,22.9,58.1,33.3,80.6,46.9,66.4,51.2,67.1,60.0,1,34.7,1,0,0,2,94,58.1,0
STU1072,20,Female,Computer Science,B.Tech,8,9.29,0,79.9,74.8,66.3,77.1,63.7,11.2,86.3,73.4,80.1,67.8,65.1,62.9,69.1,4,74.6,0,1,1,0,353,93.5,1
STU1073,22,Female,Computer Science,B.Tech,8,6.16,2,68.3,52.0,48.5,49.3,36.0,74.6,52.2,55.7,53.7,78.1,63.9,72.0,67.1,1,51.3,0,0,0,3,50,50.8,0
STU1074,22,Male,Information Technology,B.Tech,8,6.28,0,91.1,50.2,47.0,60.4,98.0,64.4,52.8,49.5,51.7,89.2,42.4,77.7,69.4,1,43.0,0,0,0,0,47,49.6,1
STU1075,22,Male,Mechanical,B.Tech,8,8.04,0,92.7,59.3,68.2,76.1,55.0,50.0,41.3,65.8,63.5,63.5,53.6,75.4,68.9,2,50.8,0,1,1,0,73,77.4,1
STU1076,22,Male,Civil,B.Tech,8,5.5,0,63.5,51.4,50.0,41.8,73.2,65.1,59.9,60.7,55.1,58.0,95.0,77.6,52.7,1,49.3,1,1,3,0,5,78.4,1
STU1077,20,Female,Computer Science,B.Tech,8,6.5,0,91.3,56.4,44.2,48.4,61.5,37.4,33.5,72.7,48.7,55.1,68.3,63.6,53.2,4,93.2,1,1,1,2,316,88.8,0
STU1078,21,Female,Computer Science,B.Tech,8,7.86,0,74.3,75.2,64.2,78.7,50.0,56.3,86.6,57.9,71.1,89.1,62.5,89.4,77.0,1,31.6,0,1,1,3,86,72.3,1
STU1079,20,Female,Civil,B.Tech,8,6.5,0,90.1,71.3,67.0,80.4,48.2,69.3,73.1,59.4,64.6,57.5,90.4,68.2,65.8,2,52.5,0,1,1,0,92,76.3,0
STU1080,22,Male,Electronics,B.Tech,8,6.94,0,81.3,73.4,65.6,79.5,85.8,10.0,67.7,82.7,74.7,69.7,59.5,70.7,71.3,2,55.8,1,1,1,2,251,82.0,1
STU1081,22,Male,Mechanical,B.Tech,8,8.02,0,82.3,59.0,54.3,71.0,76.3,46.9,29.8,70.1,58.1,58.3,63.7,57.5,58.1,3,65.3,2,0,0,1,450,82.6,1
STU1082,21,Female,Computer Science,B.Tech,8,7.66,0,80.2,81.3,62.7,85.8,91.2,54.6,55.3,58.2,81.9,52.6,78.9,69.9,64.3,2,36.1,2,1,1,1,17,77.6,1
STU1083,20,Male,Information Technology,B.Tech,8,7.49,0,93.5,56.5,61.8,68.8,62.8,51.5,71.3,68.2,71.1,66.5,59.4,77.9,63.4,2,40.6,0,1,1,1,133,71.1,1
STU1084,21,Other,Electronics,B.Tech,8,6.83,3,70.2,65.8,56.6,55.6,66.3,81.2,61.5,87.3,65.0,58.7,54.5,80.4,71.1,5,81.4,3,1,2,0,130,92.8,1
STU1085,21,Male,Electronics,B.Tech,8,7.61,0,87.8,61.0,61.0,54.0,58.0,34.8,36.0,72.1,61.3,61.7,33.4,89.2,63.8,0,24.9,3,0,0,0,37,68.6,0
STU1086,22,Female,Information Technology,B.Tech,8,7.06,0,92.5,60.2,55.7,60.9,57.7,43.8,41.6,76.3,53.2,94.1,51.9,77.7,71.0,2,38.2,1,1,1,2,365,83.0,1
STU1087,22,Male,Computer Science,B.Tech,8,7.7,0,88.8,57.4,62.3,75.7,46.4,20.5,44.8,57.5,64.4,75.1,51.8,75.0,75.7,5,96.9,2,0,0,0,285,73.6,1
STU1088,22,Male,Information Technology,B.Tech,8,6.65,0,98.0,50.2,50.6,69.5,63.3,82.2,42.3,82.4,51.5,81.2,67.2,67.1,73.1,3,83.3,1,0,0,2,136,68.7,1
STU1089,21,Female,Computer Science,B.Tech,8,7.0,0,77.0,46.3,51.7,58.7,50.2,50.6,76.5,98.0,51.7,79.9,56.5,64.7,72.6,3,79.3,3,0,0,2,55,86.0,1
STU1090,20,Female,Information Technology,B.Tech,8,6.11,0,91.1,45.6,46.3,60.7,68.6,47.1,21.3,56.9,54.6,68.8,95.0,82.7,50.1,0,20.0,1,1,3,2,66,61.6,0
STU1091,22,Other,Civil,B.Tech,8,7.16,0,81.0,56.1,72.7,63.8,64.6,54.1,62.5,51.5,60.3,64.7,50.2,82.5,55.4,0,20.0,4,0,0,0,46,67.2,1
STU1092,22,Male,Information Technology,B.Tech,8,6.31,3,93.7,55.7,49.5,66.4,66.3,66.5,31.3,70.5,48.0,73.0,84.6,60.2,63.0,0,20.0,0,1,1,0,17,66.1,0
STU1093,21,Male,Electrical,B.Tech,8,5.97,0,81.9,55.1,55.1,67.2,87.1,61.3,36.6,80.3,53.9,72.0,68.1,80.0,81.0,5,83.3,1,0,0,0,90,62.3,1
STU1094,22,Female,Computer Science,B.Tech,8,7.48,0,78.3,60.2,46.6,46.8,61.4,98.0,19.8,66.7,57.5,63.2,76.3,79.2,55.8,5,78.5,2,1,1,4,36,98.0,1
STU1095,21,Female,Electronics,B.Tech,8,7.43,0,94.4,55.7,66.0,65.1,73.4,63.2,43.2,53.3,63.6,71.6,75.4,59.7,73.1,2,49.9,2,1,2,0,67,92.9,1
STU1096,21,Male,Civil,B.Tech,8,8.06,0,77.3,67.5,66.4,86.8,92.8,46.6,76.2,66.5,62.5,61.5,33.9,77.9,63.7,1,42.1,2,1,2,0,99,75.5,1
STU1097,21,Male,Computer Science,B.Tech,8,6.73,1,68.6,68.7,62.6,71.7,81.6,44.9,56.2,76.4,69.4,67.9,64.8,60.5,61.8,1,44.5,3,1,1,0,3,85.6,1
STU1098,20,Male,Computer Science,B.Tech,8,7.65,0,77.1,59.8,59.9,58.0,79.3,47.9,32.8,62.3,53.8,66.0,61.3,45.3,60.2,2,45.3,2,1,2,0,139,83.8,1
STU1099,20,Female,Information Technology,B.Tech,8,7.81,0,87.9,71.1,64.6,48.2,57.4,28.0,68.3,76.5,63.7,54.8,49.1,70.2,56.6,2,47.3,2,1,1,0,2,78.8,1
STU1100,20,Male,Computer Science,B.Tech,8,7.69,0,95.2,68.2,61.0,67.0,65.4,55.7,71.7,84.3,64.0,41.8,71.4,74.8,55.2,3,68.6,1,0,0,0,83,69.0,1
STU1101,22,Male,Electronics,B.Tech,8,6.29,0,83.1,47.9,38.1,46.7,42.2,69.1,53.7,71.4,40.2,58.7,89.0,70.7,51.0,4,78.9,1,0,0,0,112,65.0,0
STU1102,21,Male,Mechanical,B.Tech,8,7.36,0,94.5,69.5,69.1,56.9,69.5,44.0,84.6,67.6,73.7,91.6,27.6,98.0,66.2,3,73.1,1,0,0,3,163,61.3,1
STU1103,21,Male,Information Technology,B.Tech,8,7.6,1,69.1,68.7,70.5,74.7,66.1,40.5,65.1,79.6,71.0,66.3,57.5,76.2,80.6,2,54.3,2,1,1,1,137,81.4,1
STU1104,23,Male,Computer Science,B.Tech,8,7.21,1,77.8,63.0,60.5,73.5,62.4,82.3,62.9,56.0,70.6,79.3,47.6,73.6,67.9,3,61.2,1,1,1,1,62,83.4,1
STU1105,21,Male,Information Technology,B.Tech,8,4.9,2,79.3,44.7,35.7,47.9,77.4,29.3,39.1,54.6,39.0,44.5,66.0,76.7,40.8,3,46.4,0,1,1,0,8,68.3,0
STU1106,21,Male,Electronics,B.Tech,8,7.38,1,80.9,67.5,74.0,48.6,43.9,17.8,62.0,64.3,70.1,57.9,60.4,67.1,66.0,2,65.0,0,1,1,2,114,72.4,1
STU1107,22,Female,Computer Science,B.Tech,8,9.63,0,82.8,74.1,71.6,67.7,86.5,34.2,55.5,61.1,78.9,53.7,56.5,82.2,56.3,2,43.1,3,0,0,3,69,82.3,1
STU1108,21,Male,Information Technology,B.Tech,8,6.8,0,88.6,71.8,56.6,64.0,75.5,27.3,60.3,56.8,63.7,67.6,74.7,76.0,45.0,1,38.6,0,1,1,3,32,71.5,1
STU1109,20,Female,Electronics,B.Tech,8,6.4,1,77.8,52.5,47.0,61.4,60.9,62.0,41.0,93.6,57.2,98.0,87.9,75.5,99.0,3,45.8,0,0,0,0,31,51.4,1
STU1110,21,Female,Electronics,B.Tech,8,7.61,1,83.3,62.7,56.6,69.4,59.8,48.5,54.0,98.0,62.4,75.5,95.0,65.1,77.7,5,94.9,1,0,0,2,19,77.4,1
STU1111,21,Female,Computer Science,B.Tech,8,7.54,1,81.6,61.3,55.0,68.0,69.2,51.0,38.9,63.0,46.4,90.3,54.6,54.8,68.0,2,51.0,1,0,0,0,34,48.4,0
STU1112,23,Female,Electronics,B.Tech,8,8.51,0,73.2,66.2,60.9,71.8,84.8,75.8,17.6,69.3,69.4,66.9,39.5,66.5,54.2,4,81.5,1,0,0,0,81,76.7,1
STU1113,22,Male,Computer Science,B.Tech,8,5.82,0,80.9,46.4,36.0,46.3,63.5,42.6,68.0,65.4,45.8,86.4,72.8,75.1,56.0,0,50.1,0,1,2,0,39,59.5,1
STU1114,22,Male,Computer Science,B.Tech,8,8.0,1,80.6,81.6,65.5,70.4,64.2,69.0,28.0,83.5,78.3,94.9,87.5,67.1,92.6,3,58.7,0,1,3,1,100,86.6,1
STU1115,22,Female,Mechanical,B.Tech,8,7.85,1,80.4,66.2,65.7,72.7,62.3,82.2,53.7,86.3,56.4,68.7,76.4,75.2,82.1,4,88.2,2,0,0,1,59,80.6,1
STU1116,22,Other,Electronics,B.Tech,8,7.04,4,82.3,72.8,67.9,68.2,88.7,46.8,57.3,43.1,67.0,63.5,87.5,69.4,63.2,2,55.2,2,1,3,0,242,85.5,0
STU1117,21,Female,Computer Science,B.Tech,8,7.57,0,82.7,75.1,72.6,85.9,56.5,68.3,57.2,74.7,70.9,54.2,61.8,76.7,59.2,4,73.2,0,1,1,2,90,85.8,1
STU1118,22,Female,Computer Science,B.Tech,8,8.33,0,77.9,65.7,70.6,68.3,61.6,50.6,47.5,49.7,63.9,66.3,56.5,61.3,71.7,2,58.1,2,1,1,0,53,80.9,1
STU1119,21,Female,Computer Science,B.Tech,8,8.16,0,94.1,74.4,77.0,72.6,84.0,71.6,56.3,92.6,84.4,71.0,66.6,74.1,82.0,1,33.4,2,1,2,0,4,71.7,1
STU1120,22,Male,Computer Science,B.Tech,8,5.94,1,70.9,48.9,41.3,43.0,64.2,26.7,59.5,74.2,45.0,94.4,60.4,64.9,76.3,1,43.8,2,1,1,0,71,69.7,1
STU1121,22,Male,Computer Science,B.Tech,8,8.1,0,75.2,64.2,59.8,58.4,79.1,25.4,63.8,56.5,61.8,54.5,74.3,55.1,59.4,2,69.6,1,0,0,1,89,60.3,0
STU1122,21,Female,Computer Science,B.Tech,8,7.13,0,98.0,78.6,68.6,74.4,48.3,48.0,79.7,64.6,76.4,70.7,78.6,70.2,59.2,4,81.5,1,1,3,0,116,86.6,1
STU1123,20,Female,Information Technology,B.Tech,8,7.28,4,72.1,62.3,62.3,59.8,58.9,39.0,55.7,64.0,65.1,48.2,79.7,88.9,50.0,0,20.0,2,0,0,0,131,53.2,0
STU1124,21,Male,Electronics,B.Tech,8,7.28,0,69.1,58.7,61.3,48.8,84.3,45.7,53.0,75.4,43.3,64.9,72.1,56.0,63.9,2,60.5,1,0,0,4,138,66.5,1
STU1125,21,Female,Electronics,B.Tech,8,7.03,1,89.0,65.1,59.4,65.5,51.9,51.0,37.5,82.6,59.0,73.7,68.4,73.3,75.9,3,79.0,0,0,0,2,230,63.5,1
STU1126,22,Male,Electronics,B.Tech,8,8.51,0,62.3,51.4,56.6,74.7,59.7,68.0,59.0,51.9,46.9,76.2,76.1,80.8,54.7,1,26.2,1,1,2,0,5,81.6,1
STU1127,22,Female,Computer Science,B.Tech,8,7.11,1,79.8,56.5,46.2,61.1,65.9,47.7,62.7,93.7,53.4,77.1,37.5,97.3,71.8,1,30.5,2,0,0,1,30,65.0,1
STU1128,20,Male,Civil,B.Tech,8,5.97,0,98.0,45.1,41.3,40.1,47.2,40.2,48.9,90.5,41.8,74.8,67.9,66.6,68.4,2,56.8,1,0,0,0,37,56.4,0
STU1129,21,Male,Electrical,B.Tech,8,6.77,2,67.3,54.9,39.2,53.8,55.8,48.7,60.7,55.7,47.1,77.0,65.7,65.0,64.0,1,33.7,1,0,0,1,83,55.1,0
STU1130,21,Female,Electrical,B.Tech,8,7.4,2,63.2,37.7,45.1,38.7,63.7,41.2,47.3,69.0,31.0,70.5,68.0,59.2,66.5,1,25.5,2,1,2,0,46,81.6,0
STU1131,21,Male,Electrical,B.Tech,8,8.55,0,67.8,78.9,71.3,81.2,62.7,38.2,62.7,92.0,73.6,57.4,63.8,84.5,65.9,1,40.4,3,1,1,0,117,98.0,1
